,name,address,website,thomasnet_company_url,business_description,phone_number
12,Ready Foods  ,"Denver, CO 80204",https://www.readyfoods.biz/,https://www.thomasnet.com/profile/30943547/ready-foods.html?act=C&cid=30943547&cov=NA&heading=30772305&searchpos=13&what=Food+Products&which=prod,,303-892-5861
13,Infinite Product Company  ,"Lakewood, CO 80228",https://infiniteproduct.co/,https://www.thomasnet.com/profile/30968524/infinite-product-company.html?act=C&cid=30968524&cov=NA&heading=30772305&searchpos=14&what=Food+Products&which=prod,,720-575-5832
14,FoodScience LLC  ,"Williston, VT 05495",https://www.foodsciencecorp.com/,https://www.thomasnet.com/profile/30869087/foodscience-llc.html?act=C&cid=30869087&cov=NA&heading=30772305&searchpos=15&what=Food+Products&which=prod,,800-451-5190
15,Element Bars  ,"Chicago, IL 60612",http://www.elementbars.com/,https://www.thomasnet.com/profile/30956907/element-bars.html?act=C&cid=30956907&cov=NA&heading=30772305&searchpos=16&what=Food+Products&which=prod,,888-411-3536
16,Build A Blend  ,"San Clemente, CA 92673",https://www.buildablend.com/,https://www.thomasnet.com/profile/30968582/build-a-blend.html?act=C&cid=30968582&cov=NA&heading=30772305&searchpos=17&what=Food+Products&which=prod,,714-234-8546
17,Well Aliments LLC  ,"Marlton, NJ 08053",https://wellaliments.com/,https://www.thomasnet.com/profile/30848297/well-aliments-llc.html?act=C&cid=30848297&cov=NA&heading=30772305&searchpos=18&what=Food+Products&which=prod,,667-305-0585
18,"Dolores Canning Co., Inc.  ","Los Angeles, CA 90063",https://www.dolorescanning.com/,https://www.thomasnet.com/profile/10062975/dolores-canning-co-inc.html?act=C&cid=10062975&cov=NA&heading=30772305&searchpos=19&what=Food+Products&which=prod,Wholesale Meat & Specialty Food,323-263-9155
19,Taste of Chefs LLC  ,"Alpharetta, GA 30022",https://tasteofchefs.com/,https://www.thomasnet.com/profile/30973340/taste-of-chefs-llc.html?act=C&cid=30973340&cov=NA&heading=30772305&searchpos=20&what=Food+Products&which=prod,,470-721-0707
20,"Come Alive Organics, LLC  ","Santa Ana, CA 92701",https://www.soviia.com/,https://www.thomasnet.com/profile/30847560/come-alive-organics-llc.html?act=C&cid=30847560&cov=NA&heading=30772305&searchpos=21&what=Food+Products&which=prod,"Manufacturer of natural and organic liquid agave sweeteners. Available in various flavors such as coconut, pumpkin, chocolate, vanilla, peppermint and maple. Dissolves in both hot and cold beverages. Additives are used in beverages and baked goods. FDA and USDA approved. Kosher and Halal certified.",714-955-5207
21,MidAmerica Supplements  ,"Joplin, MO 64804",https://midamericasupplements.com/,https://www.thomasnet.com/profile/30875850/midamerica-supplements.html?act=C&cid=30875850&cov=NA&heading=30772305&searchpos=22&what=Food+Products&which=prod,,833-878-7753
22,"Stello Foods, Inc.  ","Punxsutawney, PA 15767",https://www.stellofoods.com/,https://www.thomasnet.com/profile/10096158/stello-foods-inc.html?act=C&cid=10096158&cov=NA&heading=30772305&searchpos=23&what=Food+Products&which=prod,,800-849-4599
23,Boro Hemp  ,"Gadsden, AL 35904",https://borohemp.com,https://www.thomasnet.com/profile/30970779/boro-hemp.html?act=C&cid=30970779&cov=NA&heading=30772305&searchpos=24&what=Food+Products&which=prod,,615-556-3475
24,"Rockleigh Industries, Inc.  ","Rockleigh, NJ 07647",https://rockleighindustries.com/,https://www.thomasnet.com/profile/30347604/rockleigh-industries-inc.html?act=C&cid=30347604&cov=NA&heading=30772305&searchpos=25&what=Food+Products&which=prod,"ISO 9002 certified custom manufacturer of home products including food products, beverages & pet supplies. Other home products such as camping & leisure products, furniture’s, kitchen appliances & sporting goods are also available. Capabilities include design engineering, prototyping, turnkey manufacturing, machining, die casting, injection molding, stamping, fabricating, forming, electronic wiring & printing.",917-825-3806
